CVEGEO,ENT,NOM_ENT,MUN,NOM_MUN,Poligono,LOC,NOMGEO,POB1,POB42,POB84,EDU1_R,EDU7_R,EDU13_R,EDU28,EDU34,ECO1,ECO7,ECO13,ECO28,AFRO1,DISC4,DISC5,DISC6,SALUD1,SALUD2,SALUD3,SALUD4,SALUD6,VIV0,VIV7,VIV10,VIV27,VIV28,VIV29,VIV81,VIV15,VIV17,VIV20,VIV34,VIV35,VIV36,GM_2020_y,IMN_2020_y,Latitud,Longitud
170340012,17,Morelos,34,Coatetelco,21,12,General Pedro Saavedra,338,180,158,31,89.7,75,28,107,112,10,7,127,2,2,4,9,293,45,8,1,0,102,13,37,64,16,12,9,79,70,69,5,19,59,Medio,0.776124,18.738186,-99.326131
170340013,17,Morelos,34,Coatetelco,21,13,La Cuahulotera,18,9,9,0,100,0,2,10,12,1,1,3,0,0,0,0,17,1,2,0,0,11,2,2,0,0,2,2,2,1,4,0,0,5,Muy alto,0.454307,18.722094,-99.287751
170350006,17,Morelos,35,Xoxocotla,22,6,Camino de San Juanes,19,10,9,0,100,0,4,8,9,2,1,6,0,0,0,2,16,3,2,0,0,8,0,3,4,0,1,3,5,2,5,0,1,4,Alto,0.672324,18.667152,-99.243829
170350009,17,Morelos,35,Xoxocotla,22,9,Campo los Sauces,17,5,12,0,100,100,1,3,10,2,0,6,0,0,0,0,9,8,2,0,0,19,2,0,4,2,3,1,5,4,5,1,0,3,Muy bajo,0.882918,18.664559,-99.253969
170350010,17,Morelos,35,Xoxocotla,22,10,La Pintora,165,79,86,57.1,100,100,15,47,86,6,4,48,1,1,4,0,95,69,42,22,0,70,22,15,35,19,13,12,45,12,44,3,5,33,Alto,0.7063,18.708168,-99.25268
170350015,17,Morelos,35,Xoxocotla,22,15,Morelos,19,9,10,50,100,100,0,2,9,0,0,5,4,0,0,0,19,0,5,1,0,8,5,4,4,2,1,3,6,2,6,1,0,4,Alto,0.705902,18.68214,-99.25697
170350018,17,Morelos,35,Xoxocotla,22,18,El Faro,21,13,8,50,100,50,0,6,10,0,0,7,0,0,0,1,15,6,1,0,0,9,2,2,2,1,1,2,2,1,4,1,0,3,Alto,0.70218,18.673954,-99.257534
170350019,17,Morelos,35,Xoxocotla,22,19,Fábrica de Mármol (Kilómetro 2),76,36,40,33.3,71.4,100,8,15,31,3,2,22,0,0,1,1,44,32,6,0,0,21,8,12,10,4,5,3,15,10,13,0,0,11,Alto,0.682915,18.669814,-99.257522
170350026,17,Morelos,35,Xoxocotla,22,26,Techichilco,42,17,25,100,100,50,4,10,18,3,0,15,0,0,0,0,33,9,8,0,0,10,5,8,4,0,1,1,9,7,9,0,0,4,Alto,0.683266,18.685411,-99.235123
170360003,17,Morelos,36,Hueyapan,23,3,Amialtenco,26,14,12,50,100,100,3,9,10,1,0,3,0,1,1,0,14,12,0,0,0,10,0,3,2,3,2,1,6,5,2,0,0,4,Alto,0.633143,18.86731,-98.708483
